,name,city,state,score,rank,TLR_SS Score (Max 15.00),TLR_FSR Score (Max 15.00),TLR_FQE Score (Max 10.00),TLR_FRU Score (Max 10.00),RP_PU Score (Max 10.00),RP_QP Score (Max 10.00),RP_IPR Score (Max 10.00),RP_FPPP Score (Max 10.00),GO_GPH Score (Max 10.00),GO_GUE Score (Max 10.00),GO_MS Score (Max 10.00),GO_GPHD Score (Max 10.00),OI_RD Score (Max 4.00),OI_WD Score (Max 4.00),OI_ESCS Score (Max 4.00),OI_PCS Score (Max 3.00),PR Score (Max 15.00)
82,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,46.53,83,13.5,26.73,12.49,13.32,9.92,10.38,3.0,0.2,37.42,15.0,10.84,,1.43,22.88,3.38,20.0,21.28
83,Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,46.39,84,13.22,30.0,19.26,10.63,9.44,10.92,0.25,0.8,23.32,15.0,11.42,,11.43,27.87,10.28,20.0,3.49
84,Indraprastha Institute of Information Technology,New Delhi,Delhi,46.32,85,11.7,15.88,11.03,15.69,14.81,13.44,0.25,3.16,33.03,15.0,19.67,,11.68,12.41,0.25,20.0,17.57
85,Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,46.23,86,15.13,26.99,14.21,5.47,14.7,16.06,6.0,0.22,21.19,14.41,8.53,,22.26,20.19,6.69,20.0,7.1
86,Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,45.84,87,10.54,14.68,10.11,11.64,11.46,11.67,1.0,0.81,36.51,15.0,23.63,,18.83,12.18,3.41,20.0,27.14
87,Jawaharlal Nehru Technological University,Hyderabad,Telangana,45.78,88,14.5,22.45,11.8,18.62,10.03,11.41,0.25,2.3,29.62,14.35,10.55,,4.2,25.79,6.49,20.0,14.15
88,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,45.64,89,11.0,22.28,12.62,11.92,14.77,13.94,0.5,0.97,29.39,15.0,13.89,,8.73,22.23,1.18,20.0,15.43
89,AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,45.6,90,11.49,26.36,13.53,19.43,4.18,5.57,1.0,1.58,30.79,15.0,11.39,,10.74,30.0,,20.0,6.33
90,"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,45.43,91,14.65,30.0,15.6,6.63,8.35,10.87,3.0,0.35,24.64,15.0,10.39,,11.07,26.89,6.41,20.0,12.49
91,Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,45.4,92,9.04,25.2,15.46,5.01,18.17,21.68,2.5,0.18,19.28,14.74,8.44,,15.53,30.0,0.35,20.0,4.73
92,Christ University,Bengaluru,Karnataka,45.02,93,8.26,26.46,15.66,10.61,17.85,16.99,4.0,0.06,12.57,11.18,9.84,,16.74,21.63,3.16,20.0,20.18
93,Chitkara University,Rajpura,Punjab,44.82,94,15.47,15.69,9.62,11.82,14.01,17.16,5.0,0.03,21.32,15.0,12.02,,19.52,24.35,1.04,20.0,13.82
94,"Jain University, Bangalore",Bengaluru,Karnataka,44.61,95,13.23,28.02,14.98,8.85,11.06,15.56,5.0,0.54,16.95,12.41,10.96,,15.89,23.27,2.04,20.0,5.13
95,"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,44.55,96,15.38,30.0,17.16,13.66,0.82,2.66,1.0,0.36,31.5,15.0,10.17,,18.11,30.0,6.11,20.0,13.17
96,National Institute of Technology Puducherry,Karaikal,Pondicherry,44.38,97,8.97,22.95,15.39,14.47,8.56,10.83,2.0,0.59,27.72,15.0,13.32,,15.19,19.65,11.75,20.0,9.7
97,SR University,Warangal,Telangana,44.29,98,13.97,30.0,18.07,9.08,5.91,8.25,2.5,0.02,29.07,15.0,8.63,,7.21,29.78,6.6,20.0,9.34
98,R.V. College of Engineering,Bengaluru,Karnataka,44.26,99,14.0,27.03,15.37,11.44,7.34,6.76,2.25,0.31,28.39,15.0,14.29,,6.94,22.74,2.46,20.0,19.9
99,Siddaganga Institute of Technology,Tumkur,Karnataka,43.95,100,12.42,30.0,14.78,9.49,6.31,8.09,0.5,0.41,33.23,14.95,12.36,,6.06,28.02,5.73,20.0,10.06
